company_size,product_category,product_subcategory,NAICS,NAICS_description,reformulation_activity,cost_type,5th Percentile,Mean,95th Percentile
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,3. Product reformulation/process modification,Total Costs,56126.235,125564.70000000001,232740.915
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,3. Product reformulation/process modification,Per Formula Costs,5584.7,12494,23158.3
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,3. Product reformulation/process modification,Total Costs,2588483.9630000005,5722861.95,10562580.217
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,3. Product reformulation/process modification,Per Formula Costs,24607.7,54405,100414.3
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,3. Product reformulation/process modification,Total Costs,6000623.85,13144897.5,24123045.15
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,3. Product reformulation/process modification,Per Formula Costs,59707.7,130795,240030.3
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,3. Product reformulation/process modification,Total Costs,8645234.048,18993324.15,34918366.282
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,3. Product reformulation/process modification,Per Formula Costs,40072.467080745344,88038.02795031054,161853.92732919252
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,4. Packaging assessment,Total Costs,2851.185,6120.450000000001,11449.965
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,4. Packaging assessment,Per Formula Costs,283.7,609,1139.3
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,4. Packaging assessment,Total Costs,209612.113,474722.47000000003,886467.6869999999
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,4. Packaging assessment,Per Formula Costs,1992.7,4513,8427.3
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,4. Packaging assessment,Total Costs,427898.85,939976.5,1716469.65
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,4. Packaging assessment,Per Formula Costs,4257.7,9353,17079.3
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,4. Packaging assessment,Total Costs,640362.148,1420819.42,2614387.302
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,4. Packaging assessment,Per Formula Costs,2968.2124223602486,6585.7950310559,12118.231677018633
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,5. Packaging development,Total Costs,101.50500000000001,258.285,518.0775000000001
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,5. Packaging development,Per Formula Costs,10.1,25.7,51.550000000000004
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,5. Packaging development,Total Costs,55471.946500000005,125407.51800000001,233732.18000000005
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,5. Packaging development,Per Formula Costs,527.35,1192.2000000000003,2222.0000000000005
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,5. Packaging development,Total Costs,122941.65000000001,270144,495299.17500000005
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,5. Packaging development,Per Formula Costs,1223.3000000000002,2688,4928.35
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,5. Packaging development,Total Costs,178515.10150000002,395809.803,729549.4325000001
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,5. Packaging development,Per Formula Costs,827.4548136645964,1834.6611801242236,3381.614130434783
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,6. Product and package performance testing,Total Costs,30209.295,47853.075000000004,73104.705
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,6. Product and package performance testing,Per Formula Costs,3005.8999999999996,4761.5,7274.0999999999995
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,6. Product and package performance testing,Total Costs,1778752.3810000003,3817187.3150000004,6920460.619000002
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,6. Product and package performance testing,Per Formula Costs,16909.9,36288.5,65790.1
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,6. Product and package performance testing,Total Costs,3622321.5,8052663,14717320.5
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,6. Product and package performance testing,Per Formula Costs,36043,80126,146441
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,6. Product and package performance testing,Total Costs,5431283.176,11917703.39,21710885.824
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,6. Product and package performance testing,Per Formula Costs,25175.13291925466,55241.04658385093,100634.49440993789
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,7. Production scale-up testing,Total Costs,15798.6,33466.5,61948.200000000004
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,7. Production scale-up testing,Per Formula Costs,1572,3329.9999999999995,6164
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,7. Production scale-up testing,Total Costs,2798474.7600000002,6031173.840000001,11037902.27
