sector_desc_drc,category,impact
212100/coal/us,impact potential/hnc/ctuh,4.741170662944944e-10
212100/coal/us,impact potential/hrsp/kg pm2.5 eq,0.0014914524408963278
212100/coal/us,impact potential/htox/ctuh,5.600571148745931e-10
212100/coal/us,economic & social/jobs/jobs,3.832781082464926e-6
212100/coal/us,resource use/land/m2*yr,0.46524372562330457
212100/coal/us,chemical releases/metl/kg,7.484389681875923e-7
212100/coal/us,resource use/mine/kg,1.205222848883357
212100/coal/us,resource use/nren/mj,407.9081041278086
212100/coal/us,impact potential/ozon/kg cfc11 eq,6.059361450545653e-8
212100/coal/us,chemical releases/pest/kg,1.0586946597091372e-6
212100/coal/us,resource use/ren/mj,0.6477079010349429
212100/coal/us,impact potential/smog/kg o3 eq,0.03998007336441999
212100/coal/us,economic & social/vadd/$,0.9860256453693429
212100/coal/us,resource use/watr/m3,0.018605606709458322
"212230/copper, nickel, lead, and zinc/us",impact potential/acid/kg so2 eq,0.0032774584351241047
"212230/copper, nickel, lead, and zinc/us",resource use/enrg/mj,15.434138752246593
